TransactionID,FromAccountNumber,Sender,ToAccountNumber,Receiver,Amount,GetTransType,TransactionTime
1c81fd7e-f643-4f82-becb-5972b2a22259,96127,Tran Binh,79947,Le Cuong,1000000,Transfer,11-11-2025
6871912a-6d0d-4fde-8b9a-2349c0438bfd,58618,Pham Duong,,,100000,Withdraw,11-11-2025
8c9b3e5d-5c9c-4d7e-9f4c-3e0a9d6d2c11,,,"93851",Le Quang,250000,Deposit,12-11-2025
c4f047c9-2b6f-4f76-9f70-9ad6f6bb7d22,32713,Do Vu,,,200000,Withdraw,12-11-2025
5b78f2c4-9d7e-4b3e-8a61-2d0c4f9e1a33,96127,Tran Binh,58618,Pham Duong,500000,Transfer,12-11-2025
e3a9d5b2-7c41-4987-9c8d-61f2e7b4c444,95118,Hoang Tuan,,,1000000,Withdraw,12-11-2025
0f6e2d91-1b24-4f6d-8c7e-52a9f0d2e555,,,"71259",Vo Thu,300000,Deposit,12-11-2025
a7d2c8f1-3e5b-4d9f-8b22-6c4e9f7a7666,66664,Vo Phu,79947,Le Cuong,750000,Transfer,12-11-2025
b9c4d1e2-4f6a-4711-9c33-7e5d2f8a8777,,,"52877",Vo Minh,900000,Deposit,12-11-2025
d2e7f5a6-5c8b-49d2-8e44-8f6a3d9b9888,10473,Hoang Phat,,,800000,Withdraw,12-11-2025
e8f9a1b2-6d9c-4e13-9f55-9a7b4c6d0999,26457,Pham Son,96127,Tran Binh,600000,Transfer,12-11-2025
f1a2b3c4-7e0d-4f24-8a66-0b8c5d7e1aaa,,,"78398",Vo Khue,420000,Deposit,12-11-2025
